"anyo","fallecidos","siniestros","parque_vehicular"
"1972","1792","26727","401114"
"1973","1719","23480","417767"
"1974","1269","18356","431172"
"1975","1054","16602","445693"
"1976","1079","17716","466049"
"1977","1071","19638","514180"
"1978","1207","19623","589788"
"1979","1309","21506","608630"
"1980","1434","25606","797180"
"1981","1552","33536","863038"
"1982","1274","55272","912749"
"1983","1363","47889","916360"
"1984","1210","39207","930457"
"1985","1049","30751","944564"
"1986","1191","35268","962564"
"1987","1198","32790","972042"
"1988","1248","34226","985843"
"1989","1465","37217","1018255"
"1990","1587","39479","1074228"
"1991","1602","40368","1174194"
"1992","1700","43402","1356503"
"1993","1760","44837","1476128"
"1994","1762","44236","1508957"
"1995","1890","50790","1678675"
"1996","1925","57775","1826137"
"1997","1883","52394","1988647"
"1998","1959","49890","2024510"
"1999","1655","47052","2145437"
"2000","1698","40926","2128855"
"2001","1562","44831","2176501"
"2002","1549","41734","2218062"
"2003","1703","44450","2195878"
"2004","1757","46620","2298620"
"2005","1626","46328","2351662"
"2006","1652","44839","2657892"
"2007","1645","53682","2824570"
"2008","1782","57087","3023050"
"2009","1508","56330","3139088"
"2010","1595","57746","3375523"
"2011","1573","62834","3654727"
"2012","1523","61791","3973913"
"2013","1623","73276","4263084"
"2014","1630","78445","4568664"
"2015","1646","79880","4751130"
"2016","1675","91711","4960945"
"2017","1483","94879","5190704"
"2018","1507","89311","5498895"
"2019","1617","89983","5718409"
